lcTime pitch roll yaw velE velN velU lat lon height biasGx biasGy biasGz biasAx biasAy biasAz leverx levery leverz dt psrCorr psrRateDrift utc
1730951786 3.466169479769e+00 -3.929384211918e-01 -7.922573015234e+01 6.838348035258e+00 9.981754135619e-01 1.943202543193e-01 5.595636643076e-01 2.073717012074e+00 9.686964856506e+01 -5.185206713969e-04 -5.032915727264e-04 4.364918986846e-04 -1.351085424642e-01 -1.751172655163e-01 9.783694678020e-01 9.990869065822e-03 1.001383865393e-02 6.446789490557e-01 4.904238209087e-03 -1.331824739998e+05 -2.284359604289e-01 0.000000000000e+00 
1730951786 3.255892340272e+00 -5.922895747298e-01 -7.877993452655e+01 6.633471988462e+00 1.054373392312e+00 2.359577576210e-01 5.595639049898e-01 2.073718239975e+00 9.706854685098e+01 -5.195502477617e-04 -5.016826477217e-04 4.257303758577e-04 -1.334433444283e-01 -1.759353298906e-01 9.779448291328e-01 9.990603757645e-03 1.001391672382e-02 6.447251424845e-01 4.903434022422e-03 -1.331821681840e+05 -1.433067222199e-01 0.000000000000e+00 
1730951786 3.260452867780e+00 -3.938410227303e-01 -7.877470616687e+01 6.228956797687e+00 1.025243540376e+00 2.348378016149e-01 5.595641723964e-01 2.073719408160e+00 9.744712823433e+01 -5.211209658355e-04 -5.001820027805e-04 4.064252120376e-04 -1.316597602298e-01 -1.776357031298e-01 9.769416459074e-01 9.990285859863e-03 1.001398312566e-02 6.447965818832e-01 4.902358767904e-03 -1.331820246630e+05 -1.179508677710e-01 0.000000000000e+00 
1730951787 3.637626446842e+00 3.513792968384e-01 -8.000304030648e+01 5.938474600574e+00 8.518882901574e-01 2.216863280839e-01 5.595643650866e-01 2.073720518374e+00 9.770867806258e+01 -5.217588270391e-04 -4.990008642274e-04 4.025440092530e-04 -1.305921081683e-01 -1.780026879269e-01 9.756838464948e-01 9.990547052116e-03 1.001391222266e-02 6.448659140217e-01 4.901976736088e-03 -1.331825721828e+05 -1.942760680763e-01 0.000000000000e+00 
1730951787 3.309291264238e+00 7.642844986296e-01 -8.326511779571e+01 5.662095422066e+00 5.238778720208e-01 1.539771432704e-01 5.595645854802e-01 2.073721591179e+00 9.769649519589e+01 -5.214860890306e-04 -4.972220068962e-04 3.801353641474e-04 -1.289210603990e-01 -1.785712019708e-01 9.753574541850e-01 9.991084330304e-03 1.001406513511e-02 6.448847232412e-01 4.901603219645e-03 -1.331832908293e+05 -2.691703322117e-01 0.000000000000e+00 
1730951787 3.748159715275e+00 9.020608100651e-01 -8.702058473506e+01 5.414568135391e+00 2.525363869650e-01 1.991425550087e-01 5.595647187217e-01 2.073722720596e+00 9.743427824949e+01 -5.179387539647e-04 -4.952081123078e-04 3.658626870007e-04 -1.288359198812e-01 -1.797344481892e-01 9.754174537030e-01 9.991650300329e-03 1.001388922842e-02 6.449037040115e-01 4.901050269129e-03 -1.331846820075e+05 -4.191125079836e-01 0.000000000000e+00 
1730951787 3.458441428730e+00 9.155974319066e-01 -9.032624251643e+01 5.389713272441e+00 -7.678018150113e-02 3.417421540702e-02 5.595647669234e-01 2.073723811732e+00 9.697911501627e+01 -5.137016762149e-04 -4.936342340789e-04 3.607474702185e-04 -1.287108931482e-01 -1.792204585051e-01 9.750499027521e-01 9.991862408126e-03 1.001410996981e-02 6.447175281516e-01 4.902180388735e-03 -1.331865327210e+05 -5.983083972725e-01 0.000000000000e+00 
1730951787 2.840158959361e+00 6.714898136592e-01 -9.316213627008e+01 5.411572704391e+00 -2.885357064314e-01 5.263821988345e-02 5.595647618300e-01 2.073724857924e+00 9.690732535674e+01 -5.117481061285e-04 -4.931870614209e-04 3.560103652471e-04 -1.285492805349e-01 -1.792347202484e-01 9.740442275692e-01 9.991867112958e-03 1.001435793003e-02 6.445733657139e-01 4.902453391674e-03 -1.331877552776e+05 -6.827989647275e-01 0.000000000000e+00 
1730951787 2.294165031174e+00 -1.094004337487e+00 -9.520988487595e+01 5.492263887864e+00 -3.411974087327e-01 6.542555497985e-02 5.595648643346e-01 2.073725798539e+00 9.722460147819e+01 -5.138474073329e-04 -4.927085863670e-04 3.147757061084e-04 -1.266469284296e-01 -1.797307567774e-01 9.730513335569e-01 9.990415589716e-03 1.001529281830e-02 6.444866214959e-01 4.902628521219e-03 -1.331879588943e+05 -6.367969381418e-01 0.000000000000e+00 
1730951788 2.348515745526e+00 -1.709147504120e+00 -9.644137578861e+01 5.687741064208e+00 -4.266668392938e-01 9.406270000889e-02 5.595649216819e-01 2.073726725327e+00 9.753978243519e+01 -5.171465289190e-04 -4.920328511428e-04 2.809028436076e-04 -1.259546429050e-01 -1.792181015575e-01 9.719824209232e-01 9.988809298038e-03 1.001591906494e-02 6.445974061048e-01 4.902093367076e-03 -1.331882341710e+05 -6.098008102370e-01 0.000000000000e+00 
1730951788 2.677331914267e+00 -7.999036928530e-01 -9.633591891910e+01 6.027962743203e+00 -4.645467765637e-01 1.036884514391e-01 5.595648811122e-01 2.073727673001e+00 9.813035167101e+01 -5.219267330321e-04 -4.909316449606e-04 2.701181528730e-04 -1.279634420610e-01 -1.785778642713e-01 9.694495345714e-01 9.988599222966e-03 1.001596817992e-02 6.447758143673e-01 4.901465778397e-03 -1.331889056773e+05 -6.646369408198e-01 0.000000000000e+00 
1730951788 2.545124373250e+00 -1.889693020374e-01 -9.632509526788e+01 6.380891751809e+00 -4.292287624170e-01 1.594884150615e-01 5.595648385581e-01 2.073728632624e+00 9.836964184133e+01 -5.274378392666e-04 -4.884868910248e-04 2.604538930850e-04 -1.317535137259e-01 -1.760812628531e-01 9.684793026681e-01 9.988622911717e-03 1.001611480734e-02 6.449927766934e-01 4.899943793870e-03 -1.331900301763e+05 -7.529268458298e-01 0.000000000000e+00 
1730951788 2.687394227587e+00 -2.209172083045e-01 -9.639857336411e+01 6.791117898895e+00 -4.640637205508e-01 1.426263404936e-01 5.595648176276e-01 2.073729792139e+00 9.821789441845e+01 -5.287943250496e-04 -4.876212389691e-04 2.407017372443e-04 -1.331378342148e-01 -1.743612801617e-01 9.684278561974e-01 9.988646170634e-03 1.001615738114e-02 6.450894335968e-01 4.898886849266e-03 -1.331914350882e+05 -8.363508651921e-01 0.000000000000e+00 
1730951788 3.381858136511e+00 -5.569450496913e-01 -9.643911422106e+01 7.015483629125e+00 -4.711980312631e-01 3.037326422480e-01 5.595647396698e-01 2.073730994743e+00 9.824326236705e+01 -5.316207954568e-04 -4.866949180991e-04 2.338258410411e-04 -1.363473825322e-01 -1.738479334031e-01 9.682616878652e-01 9.988506331753e-03 1.001611687632e-02 6.452520065348e-01 4.897979388824e-03 -1.331929127891e+05 -9.276429924340e-01 0.000000000000e+00 
